U in V;I in mA;digits U;digits mA
0;0;0;0
0.446 ;0.65;0.002669;0.03
1.006 ;1.47;0.003509;0.03
1.481 ;2.17;0.0042215;0.03
2.002 ;2.94;0.005003;0.03
2.544 ;3.37;0.005816;0.03
2.995 ;4.4;0.0064925;0.04
3.492 ;5.13;0.007238;0.04
4.051 ;5.96;0.0080765;0.04
4.517 ;6.63;0.0087755;0.04
5.058 ;7.43;0.009587;0.04
5.496 ;8.07;0.010244;0.04
6.070 ;8.91;0.011105;0.04
6.495 ;9.54;0.0117425;0.04
7.06 ;10.37;0.03059;0.04
7.46 ;10.96;0.03119;0.04
8.59 ;12.67;0.032885;0.05
8.02 ;11.78;0.03203;0.04
8.96 ;13.16;0.03344;0.05
9.46 ;13.9;0.03419;0.05
10.08 ;14.8;0.03512;0.05
