U;S;Delta U;U/U_max;Delta U/U_max
0.002;0;0.002003;0.000405104;0.000405713
0.492;1;0.002738;0.099655661;0.000586185
0.985;2;0.0034775;0.199513875;0.000800385
1.479;3;0.0042185;0.29957464;0.001027538
1.975;4;0.0049625;0.40004051;0.001261421
2.468;5;0.005702;0.499898724;0.001496965
2.962;6;0.006443;0.59995949;0.001734807
3.458;7;0.007187;0.70042536;0.001974782
3.951;8;0.0079265;0.800283573;0.002214092
4.446;9;0.008669;0.900546891;0.002454929
4.937;10;0.0094055;1;0.002694224
;;;;
;;;;
;;;;
;;;;
;;rel U_max;;
;;0.001905104;;
